Ariel
Breakfast at Tiffany's
Back to the Future Part II
The Party
K-PAX
Star Trek IV: The Voyage Home
Predator 2
28 Days Later
The Party 2
Star Trek V: The Final Frontier
20,000 Leagues Under the Sea
Star Trek VI: The Undiscovered Country
The Big Blue
Saw
The Fisher King
Blown Away
The Interpreter
Minority Report
The Good German
The Wizard
Jackie Brown
A Clockwork Orange
Lucky Number Slevin
Sin City
Sin City: A Dame to Kill For
Das Dorf der Freundschaft
The State I Am In
The Name of the Rose
Star Trek: Generations
Amélie
Trouble in Paradise
Back to the Future Part III
Braveheart
To Be or Not to Be
Star Trek: First Contact
Star Trek: Insurrection
Star Trek: Nemesis
Mean Streets
The Wages of Fear
Paradise Found
Dead Poets Society
Berlin is in Germany
Arsenic and Old Lace
North by Northwest
Saw III
Saw II
Ali: Fear Eats the Soul
Indiana Jones and the Kingdom of the Crystal Skull
The Terminator
Volver
East of Eden
Rebel Without a Cause
Berlin: Symphony of a Great City
Rebecca
Man of Marble
Man of Iron
Boys Don't Cry
The Outsiders
The Blue Angel
The Bride of Frankenstein
Syriana
Rumble Fish
The Wanderers
The Cabinet of Dr. Caligari
Stand by Me
Muriel's Wedding
Young Adam
The Godfather
Some Like It Hot
The Godfather: Part II
Natural Born Killers
The Godfather: Part III
High Fidelity
King Kong
About a Boy
Zatoichi
The Killing
Pocketful of Miracles
The War of the Roses
In China They Eat Dogs
Ghost
Willy Wonka & the Chocolate Factory
Live and Let Die
King Kong
Stolen Kisses
Antoine and Colette
Oliver Twist
Bed and Board
Love on the Run
The 39 Steps
Cat on a Hot Tin Roof
The King of Comedy
Lili Marleen
Contempt
Live Flesh
Batman
Breathless
Wir sagen Du! Schatz.
Ronia, The Robber's Daughter
Batman Begins
The White Sound
The Silence of the Lambs
Fargo
The Edukators
Underworld
The Shawshank Redemption
Amadeus
Terminator 2: Judgment Day
Strange Days
The Apartment
Pirates of the Caribbean: At World's End
Germany: A Summer's Fairytale
Bull Durham
High Noon
Casablanca
Barton Fink
Riding Giants
Dave Chappelle's Block Party
A River Runs Through It
Desert Hearts
Terminator 3: Rise of the Machines
Meet Joe Black
Ocean's Thirteen
Ocean's Eleven
The Science of Sleep
Rio Bravo
Swimming Pool
Notorious
Beverly Hills Cop III
Rome, Open City
Broken Flowers
The Celebration
Bruce Almighty
Once Upon a Time in America
Beyond Silence
Snow Cake
Catwoman
Faster, Pussycat! Kill! Kill!
Grill Point
Grbavica: The Land of My Dreams
The Million Dollar Hotel
True Romance
Insomnia
Mambo Italiano
Mystic River
Snakes on a Plane
Brother
Jurassic Park
The Lost World: Jurassic Park
Jurassic Park III
Inspector Gadget
Bollywood/Hollywood
Magnolia
Once Upon a Time in the West
Duck, You Sucker
Monsieur Ibrahim
Good Bye Lenin!
Night on Earth
Everything Is Illuminated
A Crime
Summer Storm
Harold and Maude
Bang, Boom, Bang
Eyes Wide Shut
Seven Samurai
People on Sunday
Alien
Cockles and Muscles
The Devil Wears Prada
Longing
Head-On
Batman Returns
A Nightmare on Elm Street
Raising Arizona
Miller's Crossing
Rain Man
To Catch a Thief
Mala Noche
Das Boot
Inside Man
12 Angry Men
Lisbon Story
A Fistful of Dollars
Chocolat
Kill Bill: Vol. 2
AVP: Alien vs. Predator
Who's Afraid of Virginia Woolf?
French Kiss
Capote
Things to Do in Denver When You're Dead
Garden State
Basic Instinct
Driving Miss Daisy
The Straight Story
La Strada
La Haine
Short Sharp Shock
Snow White and the Seven Dwarfs
The English Patient
Summer in Berlin
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
Batman Forever
Batman & Robin
About the Looking for and the Finding of Love
The Life Aquatic with Steve Zissou
8½
The Pianist
Schindler's List
Ice Age
Vertigo
Mon Oncle
Summer '04
The Good, the Bad and the Ugly
One, Two, Three
Cube
Mary Poppins
Tough Enough
The Day After Tomorrow
Maria Full of Grace
Cube 2: Hypercube
Cube Zero
La Dolce Vita
Aliens vs Predator: Requiem
Human Nature
Popular Music
Caché
Distant Lights
Leaving Las Vegas
The Idiots
A Beautiful Mind
Romeo + Juliet
Bend It Like Beckham
Sissi
Sissi: The Young Empress
Sissi: The Fateful Years of an Empress
Go for Zucker
Erin Brockovich
As It Is in Heaven
36 Fillette
Klute
The Hole
My Own Private Idaho
Stranger Than Paradise
21 Grams
Bandyta
Pi
Bonnie and Clyde
Drugstore Cowboy
Shaft
Monsoon Wedding
7 Virgins
Shaft
Wild at Heart
The African Queen
Good Will Hunting
The Seventh Seal
Ghettokids - Brüder ohne Heimat
Being John Malkovich
Shaft's Big Score!
Shaft in Africa
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
The Green Mile
Cléo from 5 to 7
Reservoir Dogs
Grizzly Man
Fail Safe
Poseidon
Monster
Johnny Handsome
Marnie
Killing Zoe
Love Actually
Notting Hill
One Flew Over the Cuckoo's Nest
The Promised Land
Scoop
Fire
Dial M for Murder
Ed Wood
Requiem
Casino
The Blues Brothers
Ladyhawke
Once Were Warriors
A Grand Day Out
The Wrong Trousers
A Close Shave
Wallace & Gromit: The Curse of the Were-Rabbit
Terminator Salvation
Flashdance
Stuttgart Shanghai
Not Here to Be Loved
Janine F.
Psycho
D.E.B.S.
The Man with the Golden Arm
The Crime of Padre Amaro
Blackmail
There's Something About Mary
Transamerica
The Horse Whisperer
Rashomon
Basquiat
Fight Club
The Poseidon Adventure
Bread and Tulips
Dogville
The Cuckoo
Absolut
Spider-Man
Spider-Man 2
Spider-Man 3
Secret Beyond the Door
Constantine
Die Hard
Starship Troopers
The Mummy
The Ring
Rear Window
Apollo 13
Fat Girl
The Birds
Next Door
Frenzy
The Man Who Knew Too Much
The Experiment
The Wild Bunch
To Die For
Jaws
Jaws 2
Jaws: The Revenge
Dances with Wolves
The Lives of Others
Life of Brian
2 Fast 2 Furious
Monsters, Inc.
Wag the Dog
Big Fish
Silent Hill
The Hours
The Da Vinci Code
The Conversation
Solaris
The Terminal
To Kill a Mockingbird
The Grapes of Wrath
Titanic
City of God
Sunset Boulevard
Full Metal Jacket
E.T. the Extra-Terrestrial
Independence Day
The Matrix
The Matrix Reloaded
The Matrix Revolutions
Out of Africa
Men in Black
Men in Black II
Poltergeist
Munich
Downfall
Wild Strawberries
The Passion of the Christ
The Last Samurai
Wild Things
The Birth of a Nation
The Bodyguard
Ghostbusters
Grease
The Ninth Gate
A Fish Called Wanda
Easy Rider
The Killing Fields
Un Chien Andalou
Trainspotting
Interview with the Vampire
The Usual Suspects
The Wizard of Oz
Sunrise: A Song of Two Humans
Stalag 17
Soldier of Orange
Bridget Jones's Diary
Angel Heart
THX 1138
Life Is Beautiful
Lost Highway
When Harry Met Sally...
Catch Me If You Can
Requiem for a Dream
Butch Cassidy and the Sundance Kid
Battleship Potemkin
A.I. Artificial Intelligence
Dr. No
Final Fantasy VII: Advent Children
Beauty and the Beast
Belle de Jour
Boyz n the Hood
M*A*S*H
Troy
Nosferatu
On the Waterfront
Paris, Texas
From Russia with Love
Goldfinger
The Tin Drum
Thunderball
The Marriage of Maria Braun
La Jetée
Saw IV
Twister
Ben-Hur
Central Station
You Only Live Twice
On Her Majesty's Secret Service
Nanook of the North
Oldboy
Harry Potter and the Philosopher's Stone
Harry Potter and the Chamber of Secrets
Harry Potter and the Prisoner of Azkaban
Harry Potter and the Goblet of Fire
Harry Potter and the Order of the Phoenix
Pearl Harbor
Olympia Part One: Festival of the Nations
Out of the Past
Aliens
Pulp Fiction
Diamonds Are Forever
The Man with the Golden Gun
Olympia Part Two: Festival of Beauty
Contact
Dead Man Walking
The Bridges of Madison County
The Travelling Players
Pickpocket
The Spy Who Loved Me
Pink Flamingos
Meet the Fockers
The Shining
Short Cuts
Manhattan
October (Ten Days that Shook the World)
Moonraker
For Your Eyes Only
Octopussy
Our Hospitality
A Streetcar Named Desire
Annie Hall
A Hard Day's Night
All About Eve
Effi Briest
A View to a Kill
The Living Daylights
Licence to Kill
GoldenEye
Finding Forrester
Four Weddings and a Funeral
The Piano
Tomorrow Never Dies
Together
Train Birds
Top Gun
The Sixth Sense
The Last Emperor
Shaun of the Dead
Murder She Said
Murder at the Gallop
V for Vendetta
Faces
Face/Off
From Dusk Till Dawn
Fantasia
Murder Most Foul
Murder Ahoy
Gentlemen Prefer Blondes
The Mad Adventures of Rabbi Jacob
The Wing or the Thigh?
Monty Python and the Holy Grail
Braindead
The Evil Dead
Evil Dead II
Army of Darkness
Harry Potter and the Half-Blood Prince
From Hell
GoodFellas
Gone with the Wind
Home Alone
Home Alone 2: Lost in New York
Little Miss Sunshine
Workers Leaving the Lumière Factory
A Trip to the Moon
The Rules of the Game
Grand Illusion
Monsieur Hulot's Holiday
Vampyr
The Passion of Joan of Arc
Wintersleepers
Gattaca
Gandhi
Kolya
To Whom Does the World Belong?
Almost Famous
Mr. & Mrs. Smith
Mrs. Doubtfire
Closely Watched Trains
The Fog
The Fog
Platoon
Blue Velvet
The Omen
City of Angels
Cruel Intentions
Persona
Annaluise & Anton
Annaluise & Anton
The Young and the Damned
Good Morning, Vietnam
Lolita
Night and Fog
Roman Holiday
Rosemary's Baby
The Omen
Se7en
Shrek
Shrek 2
Shrek the Third
Silent Running
Aladdin
Airplane!
An American Werewolf in London
Animal Farm
Austin Powers: International Man of Mystery
Austin Powers: The Spy Who Shagged Me
Austin Powers in Goldmember
Sleepers
JFK
Judgment at Nuremberg
The Music Room
Jin-Roh: The Wolf Brigade
Moulin Rouge!
Playing by Heart
The Bridge on the River Kwai
Diabolique
The Day the Earth Stood Still
Chinatown
Forbidden Planet
This Island Earth
M
Umberto D.
Underworld: Evolution
F.P.1 Doesn't Answer
Barren Lives
Videodrome
American Graffiti
Duel
Close Encounters of the Third Kind
Dune
The Assassination of Richard Nixon
In the Mood for Love
2046
Strangers on a Train
The X Files
Willow
Dragonslayer
Krull
A Christmas Story
Brief Encounter
It Happened in Broad Daylight
Enemy at the Gates
The Mask
Black Hawk Down
Who Framed Roger Rabbit
Saving Private Ryan
Sleepless in Seattle
Dangerous Liaisons
WarGames
Total Recall
Toy Story
Toy Story 2
Cool Runnings
The Running Man
Finding Neverland
Sliver
Planet of the Apes
Dolls
Planet of the Apes
Singin' in the Rain
The Color Purple
A Man for All Seasons
Shanghai Express
Scarface
The Punch Bowl
Hook
Antonia's Line
A Few Good Men
Flussfahrt mit Huhn
Coffee and Cigarettes
Crash
The Docks of New York
The Cincinnati Kid
The Best Years of Our Lives
The Flintstones
The Flintstones in Viva Rock Vegas
Brother of Sleep
All the President's Men
Delicatessen
Policewoman
Willenbrock
Andrei Rublev
The World of Apu
Aparajito
Birdman of Alcatraz
Broken Blossoms
Bringing Up Baby
City Lights
The City of Lost Children
Cool Hand Luke
The Pride of the Firm
Pandora's Box
The Three from the Filling Station
Doctor Zhivago
Schnitzel Paradise
Meet Me in St. Louis
The Big Sleep
The Bank Dick
The Thomas Crown Affair
The Thomas Crown Affair
The Great Dictator
Bullitt
Mother India
Blind Date
Blood: The Last Vampire
Cars
Cinderella Man
Dead Man
Dawn of the Dead
Dawn of the Dead
Do the Right Thing
Galaxy Quest
Gremlins
Gremlins 2: The New Batch
Godzilla
The Great Love
Don't Look Now
The Murderers Are Among Us
Hot Summer
Rififi
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
The Pink Panther
For a Few Dollars More
The Jazz Singer
The Lady Vanishes
Lethal Weapon
Lethal Weapon 2
Lethal Weapon 3
Lethal Weapon 4
Letter from an Unknown Woman
Lawrence of Arabia
Halloween
Heat
Ice Age: The Meltdown
Kindergarten Cop
Madagascar
Mission: Impossible
Mission: Impossible II
Mission: Impossible III
Spaceballs
The General
The Gold Rush
The Maltese Falcon
The Phantom of the Opera
The Magnificent Ambersons
The Magnificent Seven
Spartacus
Dog Day Afternoon
Paths of Glory
Sweet Smell of Success
Tabu
Seven Years in Tibet
Irreversible
The Ox-Bow Incident
The Philadelphia Story
The Manchurian Candidate
The Man Who Would Be King
Dirty Harry
Eraserhead
Chimes at Midnight
The Front Page
The China Syndrome
The Mortal Storm
The Hustler
The Man Who Fell to Earth
Sherlock Jr.
Sleuth
Straw Dogs
Stagecoach
Double Indemnity
Mulholland Drive
Adam's Apples
Heavenly Creatures
The Inheritors
The Leopard
Sommersby
Shower
The French Connection
Blow-Up
Breathless
The Hidden Fortress
Arlington Road
Black Cat, White Cat
Whale Rider
Point Break
The Thirteenth Floor
The Thing
The Third Man
Elevator to the Gallows
Escape from New York
The Story of the Weeping Camel
Ghosts
The Wind That Shakes the Barley
Catch a Fire
The Prestige
Dreamgirls
In My Father's Den
Princesses
The Miracle Worker
The Miracle Worker
Babel
The Queen
The Talented Mr. Ripley
Eight Miles High
The Remains of the Day
Rocky Balboa
The Good Shepherd
Hannibal Rising
Hollywoodland
Ghost Rider
Letters from Iwo Jima
Lonely Hearts
Breaking and Entering
Don't Worry, I'm Fine
The Host
Dead in 3 days
Because I Said So
Notes on a Scandal
Lotte from Gadgetville
Stranger Than Fiction
The Wild Soccer Bunch 4
Bridge to Terabithia
Street Kings
Meet the Robinsons
Mr. Bean's Holiday
The Vexxer
300
Sunshine
TMNT
Gloomy Sunday
The Dreamers
Samaritan Girl
3-Iron
Bean
Dogtown and Z-Boys
Torrente, the Dumb Arm of the Law
Torrente 2: Mission in Marbella
Four Minutes
A Brief History of Time
American Psycho
Frida
The Return of the King
The Hobbit
The Hi-Lo Country
Sex and Lucía
Monster's Ball
Rocky
Rocky II
First Blood
Rambo: First Blood Part II
Rambo III
Rocky III
Blood Diamond
The Discovery of Heaven
Rocky IV
Rocky V
Sweet Sixteen
Houseboat
Shortbus
Lights in the Dusk
Gleaming the Cube
The Fountain
Me and You and Everyone We Know
Rendezvous
Superstar: The Karen Carpenter Story
The Way Things Go
Out of Sight
Y Tu Mamá También
Born Into Brothels: Calcutta's Red Light Kids
The Cave of the Yellow Dog
Nostalgia
Mirror
Wege Gottes
Stalker
The Pursuit of Happyness
Duel at Diablo
Ae Fond Kiss...
Greed
City Slickers
La Vie en Rose
Cutthroat Island
Dark Star
The Rapture
Sex, Lies, and Videotape
M. Butterfly
Lovers of the Arctic Circle
Party Monster
The Coast Guard
Pan's Labyrinth
Take My Eyes
Vollidiot
Breakfast on Pluto
The Man Who Loved Women
The Departed
Flying Saucer Rock 'N' Roll
November
Maria am Wasser
Perfume: The Story of a Murderer
Once Upon a Time in Mexico
25th Hour
Bowling for Columbine
The Devil's Backbone
Tarnation
The Warrior
Abgefahren
Regoch
Anna and the King
Little Children
The Contract
Full Metal Village
The Virgin Suicides
Junebug
The Wisdom of Crocodiles
Blood: The Last Vampire
Superman Returns
Clean, Shaven
Touch of Evil
Metal Skin
Laws of Gravity
Begotten
The Deathmaker
Get Carter
Hellboy
Mongolian Ping Pong
The Illusionist
1492: Conquest of Paradise
Miss Congeniality
Curse of the Golden Flower
Kingdom of Heaven
Cool as Ice
Teenage Mutant Ninja Turtles II: The Secret of the Ooze
Teenage Mutant Ninja Turtles
Teenage Mutant Ninja Turtles III
The Last King of Scotland
Pathfinder
Spy Game
Changing Lanes
Collateral
Keine Lieder über Liebe
Heading South
Thelma & Louise
Office Space
Emma's Bliss
Imagine Me & You
Thumbsucker
The Lost Boys
Ghost World
Games of Love and Chance
Pieces of April
Flatliners
